Reporter Identifier,ENSG00000176014
NA19682,43.127403135489
NA19684,34.49592483401573
NA19685,62.27920259859845
NA19719,42.11942645902784
NA19720,25.149094326672223
NA19723,39.99227092041541
NA19725,65.20127094066908
NA19726,58.014597910917
NA19728,27.819217021697053
NA19729,53.47854690304699
NA19731,36.49784317833739
NA19746,38.29393263680361
NA19747,55.715293001469966
NA19749,40.2698864751537
NA19750,38.671782656595695
NA19755,88.86763306658764
NA19756,40.30277750654529
NA19758,63.1839139135936
NA19759,60.200950374310075
NA19761,47.723621509529494
NA19762,70.05209154506008
NA19770,43.05198597604947
NA19771,43.47045416679981
NA19774,102.38343819436744
NA19776,32.8169901794077
NA19777,41.377922590632274
NA19779,22.083220434074725
NA19780,28.88896575848407
NA19782,40.515737403685044
NA19783,60.903515281938034
NA19794,75.88888060153533
NA19795,62.783866779939814
NA20845,48.79054730163068
NA20846,48.68304145787725
NA20847,61.903693768659366
NA20849,67.55831711281198
NA20850,23.435272304099204
NA20851,30.989236604735627
NA20852,39.39688433257179
NA20853,29.633365354669685
NA20854,48.90518242373738
NA20856,17.79375165164057
NA20861,23.91744304036877
NA20862,31.58227333807097
NA20866,54.722808728625296
NA20869,37.27070270121132
NA20870,43.434196050371675
NA20871,32.578162820435374
NA20872,52.26826785542386
NA20873,40.355552188842424
NA20874,48.20844363031061
NA20875,63.44700750610525
NA20876,26.034961749393805
NA20877,40.91973562014034
NA20879,34.10214224611963
NA20882,50.0320069776958
NA20883,68.57055679966425
NA20884,44.87076643372757
NA20885,23.337957827870216
NA20887,56.672564115311644
NA20888,43.72113997296986
NA20889,29.18854448139185
NA20890,15.545242417227804
NA20891,15.93734752786432
NA20892,56.53963097421315
NA20894,16.685731132541477
NA20895,49.4158633416958
NA20896,22.4452938495576
NA20897,46.8726483864971
NA20898,33.65997102442228
NA20899,13.138422999372075
NA20900,25.74172902000319
NA20901,24.66019808498481
NA20902,21.8432129490551
NA20903,21.697442254713803
NA20904,25.69563651984758
NA20906,54.77275180158134
NA20907,28.670536730940093
NA20908,23.15204898447244
NA20909,50.23320027298367
NA20910,27.194136660255193
NA20911,38.18618418270272
NA21086,42.804558080259625
NA21088,50.28931258048945
NA21089,61.75942725847233
NA21090,50.00067558425218
NA21091,79.7017101636221
NA21094,67.74867958901675
NA21097,34.34295207821693
NA21098,57.60626736682846
NA21099,82.15463941094399
NA21100,91.65136152267351
NA21101,47.24001244048571
NA21102,55.96159449207518
NA21103,36.07490229253849
NA21104,55.0203529904765
NA21105,50.36351668819165
NA21106,52.10912933093742
NA21108,32.58728496949993
NA21109,29.821390106883545
NA21111,34.26179025233573
NA21112,30.508297982444965
NA21113,48.49569428170523
NA21115,22.529862617889577
NA21116,56.76754606634289
NA21117,39.88583429512186
NA21119,36.475010078779135
NA21123,39.218633311498536
NA21125,40.07536496442104
NA21137,31.87610392867497
NA21141,36.843412158468645
NA21142,12.150985021754606
NA21143,46.39891702445711
NA21144,24.009082167398205
NA21295,15.498437682409284
NA21297,7.498559029000392
NA21300,15.416142519619227
NA21301,35.24413861144967
NA21303,21.216500166561037
NA21306,38.257953522275045
NA21307,28.670458749042698
NA21311,18.941998699279853
NA21312,23.036809069428138
NA21314,23.36148063398768
NA21316,26.45849009881977
NA21318,15.413201735621787
NA21320,13.606096034449749
NA21333,17.586493097666153
NA21336,21.55121233364338
NA21339,6.068525261577518
NA21344,19.466102901177113
NA21352,27.639519003194287
NA21355,30.87670526092764
NA21356,24.691652516533217
NA21357,14.608482275332971
NA21359,30.33383861451632
NA21360,22.008338750330683
NA21362,36.348974003272794
NA21363,28.699589320048627
