HG01105	HG01105	4
HG01107	HG01107	4
HG01108	HG01108	4
HG01110	HG01110	4
HG01111	HG01111	4
HG01112	HG01112	4
HG01113	HG01113	4
HG01119	HG01119	4
HG01121	HG01121	4
HG01122	HG01122	4
HG01124	HG01124	4
HG01125	HG01125	4
HG01130	HG01130	4
HG01131	HG01131	4
HG01133	HG01133	4
HG01134	HG01134	4
HG01136	HG01136	4
HG01137	HG01137	4
HG01139	HG01139	4
HG01140	HG01140	4
HG01142	HG01142	4
HG01148	HG01148	4
HG01149	HG01149	4
HG01161	HG01161	4
HG01162	HG01162	4
HG01164	HG01164	4
HG01167	HG01167	4
HG01168	HG01168	4
HG01170	HG01170	4
HG01171	HG01171	4
HG01173	HG01173	4
HG01174	HG01174	4
HG01176	HG01176	4
HG01177	HG01177	4
HG01182	HG01182	4
HG01183	HG01183	4
HG01187	HG01187	4
HG01188	HG01188	4
HG01190	HG01190	4
HG01191	HG01191	4
HG01197	HG01197	4
HG01198	HG01198	4
HG01200	HG01200	4
HG01204	HG01204	4
HG01205	HG01205	4
HG01241	HG01241	4
HG01242	HG01242	4
HG01247	HG01247	4
HG01248	HG01248	4
HG01250	HG01250	4
HG01251	HG01251	4
HG01253	HG01253	4
HG01254	HG01254	4
HG01256	HG01256	4
HG01257	HG01257	4
HG01259	HG01259	4
HG01260	HG01260	4
HG01269	HG01269	4
HG01271	HG01271	4
HG01272	HG01272	4
HG01275	HG01275	4
HG01277	HG01277	4
HG01280	HG01280	4
HG01281	HG01281	4
HG01284	HG01284	4
HG01286	HG01286	4
HG01302	HG01302	4
HG01303	HG01303	4
HG01305	HG01305	4
HG01308	HG01308	4
HG01311	HG01311	4
HG01312	HG01312	4
HG01323	HG01323	4
HG01325	HG01325	4
HG01326	HG01326	4
HG01334	HG01334	1
HG01341	HG01341	4
HG01342	HG01342	4
HG01344	HG01344	4
HG01345	HG01345	4
HG01348	HG01348	4
HG01350	HG01350	4
HG01351	HG01351	4
HG01353	HG01353	4
HG01354	HG01354	4
HG01356	HG01356	4
HG01357	HG01357	4
HG01359	HG01359	4
HG01360	HG01360	4
HG01362	HG01362	4
HG01363	HG01363	4
HG01365	HG01365	4
HG01366	HG01366	4
HG01369	HG01369	4
HG01372	HG01372	4
HG01374	HG01374	4
HG01375	HG01375	4
HG01377	HG01377	4
HG01378	HG01378	4
HG01383	HG01383	4
HG01384	HG01384	4
HG01389	HG01389	4
HG01390	HG01390	4
HG01392	HG01392	4
HG01393	HG01393	4
HG01395	HG01395	4
HG01396	HG01396	4
HG01398	HG01398	4
HG01402	HG01402	4
HG01403	HG01403	4
HG01405	HG01405	4
HG01412	HG01412	4
HG01413	HG01413	4
HG01414	HG01414	4
HG01431	HG01431	4
HG01432	HG01432	4
HG01435	HG01435	4
HG01437	HG01437	4
HG01438	HG01438	4
HG01440	HG01440	4
HG01441	HG01441	4
HG01443	HG01443	4
HG01444	HG01444	4
HG01447	HG01447	4
HG01455	HG01455	4
HG01456	HG01456	4
HG01459	HG01459	4
HG01461	HG01461	4
HG01462	HG01462	4
HG01464	HG01464	4
HG01465	HG01465	4
HG01468	HG01468	4
HG01474	HG01474	4
HG01479	HG01479	4
HG01485	HG01485	4
HG01486	HG01486	4
HG01488	HG01488	4
HG01489	HG01489	4
HG01491	HG01491	4
HG01492	HG01492	4
HG01494	HG01494	4
HG01495	HG01495	4
HG01497	HG01497	4
HG01498	HG01498	4
HG01500	HG01500	1
HG01501	HG01501	1
HG01503	HG01503	1
HG01504	HG01504	1
HG01506	HG01506	1
HG01507	HG01507	1
HG01509	HG01509	1
HG01510	HG01510	1
HG01512	HG01512	1
HG01513	HG01513	1
HG01515	HG01515	1
HG01516	HG01516	1
HG01518	HG01518	1
HG01519	HG01519	1
HG01521	HG01521	1
HG01522	HG01522	1
HG01524	HG01524	1
HG01525	HG01525	1
HG01527	HG01527	1
HG01528	HG01528	1
HG01530	HG01530	1
HG01531	HG01531	1
HG01536	HG01536	1
HG01537	HG01537	1
HG01550	HG01550	4
HG01551	HG01551	4
HG01556	HG01556	4
HG01565	HG01565	4
HG01566	HG01566	4
HG01571	HG01571	4
HG01572	HG01572	4
HG01577	HG01577	4
HG01578	HG01578	4
HG01583	HG01583	2
HG01586	HG01586	2
HG01589	HG01589	2
HG01593	HG01593	2
HG01595	HG01595	3
HG01596	HG01596	3
HG01597	HG01597	3
HG01598	HG01598	3
HG01599	HG01599	3
HG01600	HG01600	3
HG01602	HG01602	1
HG01603	HG01603	1
HG01605	HG01605	1
HG01606	HG01606	1
HG01607	HG01607	1
HG01608	HG01608	1
HG01610	HG01610	1
HG01612	HG01612	1
HG01613	HG01613	1
